Jenis,Golongan,PMK Lama (Rp),PMK Baru (Rp),Perubahan (%)
Sigaret Kretek Mesin (SKM),I,590,740,25.42
Sigaret Kretek Mesin (SKM),II,385,470,22.8
Sigaret Kretek Mesin (SKM),III,370,455,22.97
Sigaret Putih Mesin (SPM),I,625,790,26.4
Sigaret Putih Mesin (SPM),II,370,485,31.08
Sigaret Putih Mesin (SPM),III,355,470,32.39
Sigaret Kretek Tangan (SKT),I,365,425,16.44
Sigaret Kretek Tangan (SKT),I,290,330,13.79
Sigaret Kretek Tangan (SKT),II,180,200,11.11
Sigaret Kretek Tangan (SKT),III,100,110,10
Sigaret Kretek Tangan Filter (SKTF),,590,740,25.42
Rata-rata Kenaikan,,,,21.56
